book,chapter,title,totalChars,dialogueChars,dialogueRatio,sentenceCount,avgSentenceLen,bannedHits
和落魄反派的同居日常,57,给我亲一下就不疼了,2066,149,7.2,118,17.5,5
和落魄反派的同居日常,58,我怕，你将来会恨我,2028,494,24.4,135,15.0,0
和落魄反派的同居日常,59,感觉手都脏了,2022,445,22.0,127,15.9,0
和落魄反派的同居日常,60,痛苦面具,2235,628,28.1,162,13.8,2
和落魄反派的同居日常,61,这关系怎么有点乱呢？,2031,372,18.3,137,14.8,0
和落魄反派的同居日常,62,你真好,2179,109,5.0,105,20.8,2
和落魄反派的同居日常,63,她生日,3004,606,20.2,184,16.3,0
和落魄反派的同居日常,64,他才不是什么穷小子呢,1974,776,39.3,139,14.2,0
和落魄反派的同居日常,65,喜不喜欢我？,2103,493,23.4,145,14.5,5
和落魄反派的同居日常,66,不走，好不好？,2068,294,14.2,135,15.3,4
和落魄反派的同居日常,67,晚安，林望夕,1691,203,12.0,117,14.5,4
和落魄反派的同居日常,68,你是例外,2216,443,20.0,150,14.8,1
和落魄反派的同居日常,69,老公是谁？,3571,730,20.4,236,15.1,1
和落魄反派的同居日常,70,我安慰你呢，你听不懂吗？,2050,652,31.8,147,13.9,1
和落魄反派的同居日常,71,我以为你在欲擒故纵,2024,577,28.5,115,17.6,1
和落魄反派的同居日常,72,我要狠狠地亲你一口,1968,477,24.2,101,19.5,2
和落魄反派的同居日常,73,回林家,2034,680,33.4,126,16.1,3
和落魄反派的同居日常,74,有些关系，不见面最好,1938,522,26.9,131,14.8,1
和落魄反派的同居日常,75,解释不清了,3075,492,16.0,192,16.0,2
和落魄反派的同居日常,76,我会陪着你,3068,701,22.8,170,18.0,5
和落魄反派的同居日常,77,你肯定吃药了,2789,584,20.9,175,15.9,1
和落魄反派的同居日常,78,我真的错了……,3441,561,16.3,225,15.3,1
和落魄反派的同居日常,79,我冷,2819,708,25.1,209,13.5,2
和落魄反派的同居日常,80,滚出去睡沙发,3099,945,30.5,179,17.3,2
和落魄反派的同居日常,81,有只蚊子,3211,568,17.7,195,16.5,7
和落魄反派的同居日常,82,疼不疼？,3080,690,22.4,211,14.6,5
和落魄反派的同居日常,83,有没有结婚的计划？,2239,706,31.5,123,18.2,1
和落魄反派的同居日常,84,她从始至终，都没打算和他结婚,2037,620,30.4,117,17.4,1
和落魄反派的同居日常,85,不如早点分开,2330,703,30.2,157,14.8,1
和落魄反派的同居日常,86,约会,2902,562,19.4,190,15.3,3
和落魄反派的同居日常,87,你能不能正经点,2521,753,29.9,169,14.9,3
和落魄反派的同居日常,88,这个忙我帮定了,2759,788,28.6,177,15.6,4
和落魄反派的同居日常,89,遇到骗子了？,3032,1295,42.7,197,15.4,0
和落魄反派的同居日常,90,加深一下感情,2374,606,25.5,166,14.3,4
和落魄反派的同居日常,91,我不是故意的,2109,365,17.3,118,17.9,1
和落魄反派的同居日常,92,你不害怕吗？,3014,931,30.9,154,19.6,5
和落魄反派的同居日常,93,要补补,1901,431,22.7,112,17.0,2
和落魄反派的同居日常,94,玩玩而已,2553,802,31.4,151,16.9,5
和落魄反派的同居日常,95,也好,2082,453,21.8,129,16.1,4
和落魄反派的同居日常,96,你去给我跳个舞,2347,631,26.9,158,14.9,3
和落魄反派的同居日常,97,真是个酒鬼,2027,445,22.0,134,15.1,2
和落魄反派的同居日常,98,要不要考虑结个婚？,2253,1244,55.2,152,14.8,1
和落魄反派的同居日常,99,去南方,2102,519,24.7,114,18.4,2
和落魄反派的同居日常,100,那就试试吧,3186,567,17.8,178,17.9,1
和落魄反派的同居日常,101,早知道打螺丝这么苦，她死在宁城算了,2157,368,17.1,112,19.3,2
和落魄反派的同居日常,102,真正的重新开始吧,2836,661,23.3,163,17.4,0
和落魄反派的同居日常,103,我还有机会吗？,2233,713,31.9,149,15.0,4
和落魄反派的同居日常,104,你不怕烫了？,1819,500,27.5,131,13.9,3
和落魄反派的同居日常,105,完结上,2095,653,31.2,140,15.0,2
和落魄反派的同居日常,106,完结下,2100,627,29.9,148,14.2,1
